Identifier,Occurrence Date,Offense,Offense Classification,longitude,latitude
c54aef32,02/13/2015 09:15:00 PM,GRAND LARCENY,FELONY,-73.915894428,40.760764728
79012b16,02/13/2015 09:20:00 PM,FELONY ASSAULT,FELONY,-73.947117528,40.825913006
dab8db48,02/13/2015 09:30:00 PM,GRAND LARCENY,FELONY,-74.009239725,40.715528594
2c96d037,02/13/2015 09:30:00 PM,GRAND LARCENY,FELONY,-74.005189071,40.719846356
fa3d9083,02/13/2015 09:30:00 PM,BURGLARY,FELONY,-73.993292546,40.744793357
bd6528ca,02/13/2015 09:30:00 PM,GRAND LARCENY,FELONY,-73.977424615,40.754546175
74b6ffb7,02/13/2015 09:30:00 PM,GRAND LARCENY,FELONY,-73.829803819,40.881530834
51ef7d3a,02/13/2015 09:40:00 PM,ROBBERY,FELONY,-73.896191803,40.673157801
59e7be69,02/13/2015 09:49:00 PM,ROBBERY,FELONY,-73.995687183,40.603058776
24421291,02/13/2015 09:50:00 PM,FELONY ASSAULT,FELONY,-73.924181597,40.679017789
e863399,02/13/2015 10:00:00 PM,GRAND LARCENY,FELONY,-73.941347389,40.833809505
4b2f80c6,02/13/2015 10:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.99865538,40.742699299
229cd041,02/13/2015 10:20:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.811705125,40.587514489
8c9ad60b,02/13/2015 10:20:00 PM,BURGLARY,FELONY,-73.964645032,40.765653688
3b92d0c6,02/13/2015 10:30:00 PM,GRAND LARCENY,FELONY,-73.950868455,40.678628796
5062ce48,02/13/2015 10:50:00 PM,FELONY ASSAULT,FELONY,-73.904133781,40.881218527
9f89978b,02/13/2015 11:00:00 PM,GRAND LARCENY,FELONY,-73.841165252,40.656401221
bcba179c,02/13/2015 11:00:00 PM,GRAND LARCENY,FELONY,-73.960319434,40.71853313
e246f00e,02/13/2015 11:00:00 PM,GRAND LARCENY,FELONY,-73.988063995,40.720663793
1973bf44,02/13/2015 11:00:00 PM,GRAND LARCENY,FELONY,-73.978295562,40.729072304
8f2e831f,02/13/2015 11:00:00 PM,FELONY ASSAULT,FELONY,-73.86800559,40.858292081
6f33085f,02/13/2015 11:10:00 PM,ROBBERY,FELONY,-73.896510715,40.674404217
77b2017c,02/13/2015 11:11:00 PM,ROBBERY,FELONY,-73.944496695,40.814361996
5d3e1d24,02/13/2015 11:15:00 PM,ROBBERY,FELONY,-73.938948721,40.695058784
655a1e71,02/13/2015 11:20:00 PM,ROBBERY,FELONY,-73.934668661,40.587834098
426454f6,02/13/2015 11:30:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.959543005,40.612913789
728f1e4b,02/13/2015 11:30:00 PM,GRAND LARCENY,FELONY,-74.000059175,40.728615975
d0ab2f0c,02/13/2015 11:30:00 PM,GRAND LARCENY,FELONY,-73.88635521,40.750581063
f2b82f13,02/13/2015 11:40:00 PM,ROBBERY,FELONY,-73.883879032,40.841840907
5590820e,02/15/2015 12:00:00 AM,GRAND LARCENY,FELONY,-73.965832198,40.576670753
84bd0af9,02/15/2015 12:00:00 AM,GRAND LARCENY,FELONY,-73.864836587,40.681502299
9c50b77b,02/15/2015 12:00:00 AM,GRAND LARCENY,FELONY,-73.98794868,40.719963868
1060731b,02/15/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.874750331,40.737844353
25d95367,02/15/2015 12:01:00 AM,GRAND LARCENY,FELONY,-73.967110962,40.765056064
67738a7c,02/15/2015 12:04:00 AM,FELONY ASSAULT,FELONY,-73.796085317,40.670487746
