lsoa,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018
E01000262,175.0798351206299,201.8468364369679,162.26471035139653,200.98245532294538,249.217762568687
E01000263,151.59567803778413,158.91946055112527,121.40567281246413,108.53403554346878,114.51385197059832
E01000264,152.69591433665497,160.90375689432358,128.10473056031316,118.5632900234719,125.4014178115204
E01000265,408.3510904304023,480.5979986120095,512.3394976745761,480.93652756583737,475.1803352969154
E01000266,305.0022934899596,348.9364792489819,365.04179323713663,347.02364332679764,348.80168234932944
E01000267,220.91325792047576,255.59546367951864,249.024157146027,286.0647928023337,222.75157291421803
E01000268,223.84553710718612,235.83774047366578,234.33966319838973,285.1594285905888,200.11052087972126
E01000269,230.07278013610323,248.92296113775288,244.62004883413954,261.4782592196298,208.07207200230013
E01000270,215.4604086045785,240.07596029819516,232.49818330508754,277.11651010423094,201.89911644643342
E01000271,239.31170338338578,247.30647900169978,238.45784254581957,248.8031315488367,235.45630875310232
E01000272,249.21163819719234,259.81431101143096,253.21518160786644,249.2337045439519,251.09815629942793
E01000273,261.0421289299751,260.57767609294183,254.26048400686096,258.5793556796598,257.4763895556425
E01000274,363.4432188234171,413.85808216241105,439.06812364537694,430.14853589240016,430.7447709922401
E01000275,189.62233104156837,197.6006245425774,195.2078393894689,226.3339651150873,255.0555185569287
E01000276,172.1769915453929,181.11371606711748,181.60790823243698,257.7580167368618,297.2338355082212
E01000277,180.49835254901055,192.58920612262315,193.14269238976348,219.40780636816206,253.61411659963537
E01000278,166.79272487641558,175.0214014249219,174.70990125430197,277.33231581993965,317.2024104615857
E01000279,206.61344114775346,188.9267245167131,165.15513408015292,168.45222519728597,176.99154948384208
E01000280,229.3512832461244,220.39959573828347,199.6472731543746,193.6507411771157,202.99157348666927
E01000281,227.1348607503051,213.7076509112239,199.82488452801465,213.1329934126138,213.8255925099649
E01000282,220.85711728542762,209.0023006375601,186.74448263997905,191.6261120155579,201.9278859662116
E01000283,203.2414841131511,196.4141262940224,184.17216861369795,205.59919670823783,223.42880086929785
E01000284,215.69535744861614,218.90774097231855,212.1133341427056,225.9827532628329,245.7222770845828
E01000285,300.82246264432837,324.95984763437883,314.03364315168494,266.98228526042067,252.73484102594534
E01000286,307.6883997045085,337.94093266181665,324.8924467189029,261.7671395322929,254.0748638199492
E01000287,297.3493813036179,318.60221180124336,308.6142468564235,259.7450541064604,251.7412797080451
E01000288,245.9380491070845,266.09179434320265,268.3122803547492,260.2696047800272,223.51340401424972
E01000289,258.53592567649315,286.32445904229905,296.0867067197507,244.14819144584155,229.50285187357053
E01000290,276.91112300331247,293.3242239610247,280.98562343532717,241.02200033617564,233.29584416497698
E01000291,271.9884904857727,305.92818473478525,302.1857353919517,252.78800491168047,239.26914659567092
E01000292,290.1410857986691,322.5810822352346,303.8432643714918,267.0893301736519,258.7084191550298
E01000293,276.1430536983971,307.5984469409958,297.7485047274587,253.41780926437434,249.95394217775154
E01000294,306.1186793909246,319.8925610411321,304.1115016427201,259.5356110246678,268.76039962138
E01000295,162.06828654078288,159.37677736855758,170.90679813084327,640.5021318254545,645.3138089170347
E01000296,154.67036410093814,154.81994364275135,163.82709148722554,686.565740965239,732.0368907461459
E01000297,164.50207860029917,150.07900861642827,170.61302130848142,316.9100281939577,316.56923289621125
E01000298,154.2979299860896,158.67225465223055,170.03066120625374,625.124759545743,647.4317027326317
E01000299,179.0293507859708,187.87992067927667,190.84204090372953,226.12616896857983,268.37936747292895
E01000300,174.22857743451252,186.45553784779435,192.15995429639761,240.85160897367035,273.28643301287815
E01000301,151.701230418077,158.32377673518735,162.01118370170124,349.3729039961435,384.00921121055006
E01000302,158.95458857144573,170.88521377816613,176.47395264306414,377.6210823792065,405.35038009190697
E01000303,154.01360180804025,159.07189635780344,165.5605661489043,603.4136758054557,644.1014061717663
E01000304,159.8240223396005,162.76041799190583,171.1069125906256,667.9786310145455,713.0531769508787
E01000305,133.80885039774216,150.47182815845062,149.12004603970135,148.88367525046593,354.60710395389174
E01000306,141.6664751029523,152.2886612988944,152.74280950703778,156.05984009075175,318.76264558203474
E01000307,161.75164417657086,167.70423273040672,165.80351010752776,165.31305576101636,236.95139892021575
E01000308,139.65791238251146,148.9350043266767,146.24052897196697,146.39765992498934,298.26093705678846
E01000309,147.75455581140073,147.8538974639137,147.23080118350845,155.60882422553595,215.6431799770448
E01000310,157.56386413426227,157.54338389866095,152.34396238830954,158.9496713671047,181.87304254894053
E01000311,162.6324788655906,159.05014317195707,166.38800624926978,177.88598563909173,174.9926073729618
E01000312,119.47863194536222,116.35302686895774,114.22619372042314,113.91358693182767,178.32322551742604
